Date,Open,High,Low,Close,Adj Close,Volume
12/05/2015,1194.599976,1194.800049,1189.699951,1192.599976,1192.599976,26
13/05/2015,1192.699951,1218.400024,1191,1218.400024,1218.400024,10
14/05/2015,1214.5,1225.599976,1214.5,1225.400024,1225.400024,34
15/05/2015,1218.5,1225.5,1214.800049,1225.5,1225.5,35
18/05/2015,1224.5,1228.099976,1222.599976,1227.800049,1227.800049,12
19/05/2015,1223.900024,1223.900024,1206,1206.900024,1206.900024,8
20/05/2015,1205.099976,1210.800049,1205.099976,1208.900024,1208.900024,9
21/05/2015,1204.5,1204.5,1203.699951,1204.400024,1204.400024,11
22/05/2015,1211.599976,1211.900024,1204.300049,1204.300049,1204.300049,43
26/05/2015,1193.599976,1193.599976,1186,1187.199951,1187.199951,8
27/05/2015,1185.900024,1185.900024,1185.900024,1185.900024,1185.900024,40
28/05/2015,1187.099976,1192,1179.599976,1188.099976,1188.099976,200216
29/05/2015,1187.800049,1193.300049,1185.699951,1189.400024,1189.400024,52705
1/06/2015,1190.599976,1204,1184.300049,1188.300049,1188.300049,4748
2/06/2015,1189,1194.300049,1186,1194.099976,1194.099976,1236
3/06/2015,1193.900024,1193.900024,1179.099976,1184.699951,1184.699951,1003
4/06/2015,1184.900024,1185.300049,1173,1174.900024,1174.900024,630
5/06/2015,1176.400024,1177.300049,1164,1167.800049,1167.800049,447
8/06/2015,1169.5,1176.099976,1169.099976,1173.199951,1173.199951,390
9/06/2015,1172.900024,1180.300049,1172.699951,1177.300049,1177.300049,173
10/06/2015,1176.099976,1190.099976,1175.599976,1186.099976,1186.099976,144
11/06/2015,1183.199951,1183.199951,1174.400024,1179.900024,1179.900024,295
12/06/2015,1180.400024,1181.199951,1176.199951,1178.800049,1178.800049,69
15/06/2015,1179.900024,1188.5,1172.699951,1185.300049,1185.300049,141
16/06/2015,1186.5,1186.5,1175.900024,1180.5,1180.5,102
17/06/2015,1177.599976,1186.300049,1174.900024,1176.400024,1176.400024,29
18/06/2015,1183.400024,1202,1183.400024,1201.5,1201.5,168
19/06/2015,1199.699951,1203.099976,1199.699951,1201.5,1201.5,130
22/06/2015,1197.800049,1197.800049,1182.699951,1183.699951,1183.699951,142
23/06/2015,1183.800049,1186,1176.199951,1176.199951,1176.199951,30
24/06/2015,1176.599976,1176.599976,1170.699951,1172.599976,1172.599976,60
25/06/2015,1175.800049,1175.900024,1171.5,1171.5,1171.5,263
26/06/2015,1170.5,1172.900024,1170.5,1172.900024,1172.900024,95
29/06/2015,1185.099976,1186,1173.800049,1178.5,1178.5,308
30/06/2015,1176.300049,1176.400024,1166.599976,1171.5,1171.5,174
1/07/2015,1173.099976,1173.099976,1166.599976,1169,1169,223
2/07/2015,1166.400024,1168.099976,1155.5,1163,1163,455
6/07/2015,1171.099976,1173,1162.199951,1172.900024,1172.900024,316
7/07/2015,1166.800049,1166.800049,1149.5,1152.400024,1152.400024,634
8/07/2015,1152.599976,1163.300049,1146.400024,1163.300049,1163.300049,469
9/07/2015,1154.800049,1163.599976,1154.800049,1159,1159,65
10/07/2015,1160.099976,1161.400024,1157.5,1157.699951,1157.699951,65
13/07/2015,1159,1159,1151.199951,1155.199951,1155.199951,27
14/07/2015,1157.199951,1157.199951,1153,1153.300049,1153.300049,14
15/07/2015,1154,1154,1144.800049,1147.199951,1147.199951,39
